Experiment,Neurons,Learning Rate,Loss Function,Batch Size,LR Scheduler,MAE,MSE,RMSE,R²
1,32,0.001,mae,16,False,0.05473203099516993,0.004761236166626303,0.06900171133114238,0.6022680492199606
2,32,0.001,mae,16,True,0.04408132528144167,0.004066204324881758,0.06376679641382149,0.6603278388621907
3,32,0.001,mae,32,False,0.05100858494518247,0.004630662825832283,0.0680489737309262,0.6131755504940826
4,32,0.001,mae,32,True,0.05122562161871409,0.004964552412164597,0.07045957998856221,0.585283937503335
5,32,0.001,mae,64,False,0.05351576943546128,0.004912296478433771,0.07008777695457155,0.5896491598395588
6,32,0.001,mae,64,True,0.04754228762656368,0.004490827782927137,0.06701363878291595,0.6248567321149228
7,32,0.001,mse,16,False,0.044880618023355454,0.003695283221489372,0.06078884125799218,0.6913128958673072
8,32,0.001,mse,16,True,0.052550319937186486,0.00438162068718029,0.06619381154745729,0.6339793947408334
9,32,0.001,mse,32,False,0.05474271481922323,0.005285328758755991,0.07270026656592114,0.5584877447439468
10,32,0.001,mse,32,True,0.046225207016720025,0.004016025850225083,0.06337212202715863,0.6645195197437772
11,32,0.001,mse,64,False,0.0620472071358182,0.005788048118588218,0.07607922264710791,0.5164928625991607
12,32,0.001,mse,64,True,0.06679665872559637,0.006686567165737155,0.08177143245496654,0.44143468003293185
13,32,0.01,mae,16,False,0.03762740975392219,0.0028882040481501437,0.05374201380810124,0.7587326084823205
14,32,0.01,mae,16,True,0.040059157766623846,0.003093597565061478,0.0556201183481434,0.7415749709907523
15,32,0.01,mae,32,False,0.03238470127185184,0.002660617426543383,0.051581173179207386,0.77774415670536
16,32,0.01,mae,32,True,0.040792042571031605,0.0031864369685142236,0.05644853380305129,0.733819590717171
17,32,0.01,mae,64,False,0.04232330801283438,0.003270741932364756,0.057190400701208205,0.7267771385977517
18,32,0.01,mae,64,True,0.02972273711105026,0.0025249078840370426,0.05024846150915511,0.7890807128415283
19,32,0.01,mse,16,False,0.03496173545193217,0.0027638235006519187,0.05257207909767236,0.7691227920532001
20,32,0.01,mse,16,True,0.0456548564608504,0.003585668632815651,0.05988045284410975,0.7004695985935327
